Complainant,"Contact No.",Date,Time,Type,Status,Subject,"Place of Incident","Tanod on Duty",Age,Address,"Complained Name","Complained Address",Details/Reason
"Maria Santos",09123456789,2025-04-01,08:00:00,Noise,Settled,"Noise Pollution",Park,"Juan Dela Cruz",25," 123 Main St","Jose Lopez",None,"Loud music disturbing the neighbors"
"John Doe",09234567890,2025-04-02,09:30:00,Property,Active,Vandalism,Mall,"Pedro Reyes",32," 456 Oak Ave","Carlos Ramirez",None,"Graffiti on the walls"
"Alice Brown",09345678901,2025-04-02,10:00:00,Crime,Active,Theft,Supermarket,"Luis Gomez",40,"789 Pine Blvd","Michael Jackson",None,"Stolen groceries"
"James Smith",09456789012,2025-04-03,11:00:00,Personal,Settled,Harassment,School,"Antonio Cruz",16,"321 Maple Rd","Ryan Clark",None,"Verbal harassment by a classmate"
"Rachel Adams",09567890123,2025-04-03,12:30:00,Business,Active,Fraud,Office,"Rosario Diaz",29,"234 Birch Ln","Karen White",None,"Falsified financial reports"
"Robert Green",09678901234,2025-04-04,01:15:00,Violence,Settled,Assault,Restaurant,"Ana Martinez",38,"567 Elm St","John Fisher",None,"Physical altercation between two customers"
"Susan Miller",09789012345,2025-04-04,02:45:00,Traffic,Active,"Drunken Driving",Street,"Carlos Santos",47,"678 Maple Blvd","Patrick Lee",None,"Driving under the influence"
"Sophia Johnson",09890123456,2025-04-05,03:30:00,Personal,Settled,Bullying,School,"Miguel Torres",17,"234 Oak Rd","David Adams",None,"Repeated bullying at school"
"Liam King",09901234567,2025-04-05,04:00:00,Traffic,Active,Speeding,Highway,"Rebecca Gonzalez",22,"345 Cedar Dr","Evan Scott",None,"Excessive speeding in residential area"
"Lucas Perez",09123456789,2025-04-06,05:00:00,Family,Settled,"Child Abuse",Home,"Maria Torres",33,"123 Pine Rd","Nina Flores",None,"Reports of physical abuse"
"Jackie Collins",09234567890,2025-04-06,06:30:00,Environment,Active,"Environmental Damage",Forest,"Fernando Reyes",27,"456 Birch Ln","Antonio Lopez",None,"Illegal dumping of waste"
"Elizabeth Taylor",09345678901,2025-04-07,07:30:00,Crime,Settled,Rape,Hotel,"Luis Perez",36,"789 Oak Blvd","James Murphy",None,"Sexual assault on a hotel guest"
"Henry Lewis",09456789012,2025-04-07,08:00:00,Personal,Active,"Public Intoxication",Park,"Sara Garcia",28,"321 Birch Ave","Oscar Walker",None,"Drunk in public area"
"Isabella Fisher",09567890123,2025-04-08,09:00:00,Personal,Settled,Stalking,Home,"Clara Sanchez",24,"567 Cedar Blvd","Bryan Lee",None,"Repeated stalking via social media"
"Samuel Walker",09678901234,2025-04-08,10:15:00,Traffic,Active,"Traffic Violation",Street,"Javier Ruiz",26,"678 Maple Rd","Gregory Hall",None,"Running a red light"
"Nina Young",09789012345,2025-04-09,11:45:00,Violence,Settled,Battery,Club,"Maria Garcia",31,"234 Oak Blvd","Patrick Daniels",None,"Physical altercation at a nightclub"
"Carlos Miller",09890123456,2025-04-09,08:15:00,Crime,Active,"Illegal Gambling",Casino,"Felipe Torres",41,"987 Pine St","Jose Martinez",None,"Participating in illegal gambling"
"Olivia Adams",09901234567,2025-04-10,09:00:00,Property,Settled,Vandalism,School,"Alicia Cruz",18,"123 Elm St","Benjamin Scott",None,"Breaking windows in school property"
"Sarah White",09123456789,2025-04-10,10:30:00,Health,Active,"Public Smoking",Park,"Antonio Gonzalez",34,"456 Oak Blvd","Lucas Walker",None,"Smoking in a public park"
"Emily Brown",09234567890,2025-04-11,11:00:00,Personal,Settled,"Abuse of Power","Government Office","Jorge Rivera",50,"789 Birch Rd","James Jackson",None,"Misuse of authority in office"
"Angela Lewis",09345678901,2025-04-11,12:30:00,Crime,Active,"Unlawful Detention","Police Station","Pedro Cruz",30,"234 Maple Blvd","Albert White",None,"Illegally detaining an individual"
"Grace Williams",09456789012,2025-04-12,01:00:00,Crime,Settled,"Drug Use",Street,"Carlos Martinez",26,"567 Pine Blvd","Victor Lee",None,"Illegal substance usage in public"
"Mia Scott",09567890123,2025-04-12,02:15:00,Personal,Active,Negligence,Hospital,"Clara Lopez",29,"678 Birch Ln","David Green",None,"Medical malpractice"
"William Clark",09678901234,2025-04-13,03:30:00,Property,Settled,Trespassing,"Private Property","Alejandro Hernandez",39,"789 Oak Blvd","Ryan Johnson",None,"Entering private property without permission"
"Megan Adams",09789012345,2025-04-13,04:00:00,Personal,Active,Defamation,"Social Media","Isabel Perez",45,"123 Birch Ln","Rebecca Miller",None,"Spreading false information online"
"Sophia Evans",09890123456,2025-04-14,05:00:00,Crime,Settled,Bribery,"Government Office","Ethan Walker",28,"234 Oak Rd","Chris Green",None,"Offering a bribe to a public official"
"Olivia Lee",09901234567,2025-04-14,06:30:00,Animal,Active,"Animal Cruelty",Farm,"Marissa Cruz",37,"345 Cedar Dr","Eric White",None,"Abusing animals on a farm"
"Benjamin Scott",09123456789,2025-04-15,07:00:00,Traffic,Scheduled,"Illegal Parking","Parking Lot","Jose Perez",26,"567 Maple Blvd","Liam Hall",None,"Parking in a disabled spot without permission"
"Daniel Thomas",09234567890,2024-01-09,08:00:00,Personal,Active,"Public Disturbance",Streets,"Miguel Ortiz",33,"678 Pine St","Olivia Clark",None,"Causing noise disturbance in public area"
"Maria Santos",09123456789,2025-04-01,08:00:00,Noise,,"Noise Pollution",Park,"Juan Dela Cruz",25,"123 Main St","Jose Lopez",None,"Loud music disturbing the neighbors"
"John Doe",09234567890,2025-04-02,09:30:00,Property,,Vandalism,Mall,"Pedro Reyes",32,"456 Oak Ave","Carlos Ramirez",None,"Graffiti on the walls"
"Alice Brown",09345678901,2025-04-02,10:00:00,Crime,,Theft,Supermarket,"Luis Gomez",40,"789 Pine Blvd","Michael Jackson",None,"Stolen groceries"
"James Smith",09456789012,2025-04-03,11:00:00,Personal,,Harassment,School,"Antonio Cruz",16,"321 Maple Rd","Ryan Clark",None,"Verbal harassment by a classmate"
"Rachel Adams",09567890123,2025-04-03,12:30:00,Business,,Fraud,Office,"Rosario Diaz",29,"234 Birch Ln","Karen White",None,"Falsified financial reports"
"Robert Green",09678901234,2025-04-04,01:15:00,Violence,,Assault,Restaurant,"Ana Martinez",38,"567 Elm St","John Fisher",None,"Physical altercation between two customers"
"Susan Miller",09789012345,2025-04-04,02:45:00,Traffic,,"Drunken Driving",Street,"Carlos Santos",47,"678 Maple Blvd","Patrick Lee",None,"Driving under the influence"
"Sophia Johnson",09890123456,2025-04-05,03:30:00,Personal,,Bullying,School,"Miguel Torres",17,"234 Oak Rd","David Adams",None,"Repeated bullying at school"
"Liam King",09901234567,2025-04-05,04:00:00,Traffic,,Speeding,Highway,"Rebecca Gonzalez",22,"345 Cedar Dr","Evan Scott",None,"Excessive speeding in residential area"
"Lucas Perez",09123456789,2025-04-06,05:00:00,Family,,"Child Abuse",Home,"Maria Torres",33,"123 Pine Rd","Nina Flores",None,"Reports of physical abuse"
"Jackie Collins",09234567890,2025-04-06,06:30:00,Environment,,"Environmental Damage",Forest,"Fernando Reyes",27,"456 Birch Ln","Antonio Lopez",None,"Illegal dumping of waste"
"Elizabeth Taylor",09345678901,2025-04-07,07:30:00,Crime,,Rape,Hotel,"Luis Perez",36,"789 Oak Blvd","James Murphy",None,"Sexual assault on a hotel guest"
"Henry Lewis",09456789012,2025-04-07,08:00:00,Personal,,"Public Intoxication",Park,"Sara Garcia",28,"321 Birch Ave","Oscar Walker",None,"Drunk in public area"
"Isabella Fisher",09567890123,2025-04-08,09:00:00,Personal,,Stalking,Home,"Clara Sanchez",24,"567 Cedar Blvd","Bryan Lee",None,"Repeated stalking via social media"
"Samuel Walker",09678901234,2025-04-08,10:15:00,Traffic,,"Traffic Violation",Street,"Javier Ruiz",26,"678 Maple Rd","Gregory Hall",None,"Running a red light"
"Nina Young",09789012345,2025-04-09,11:45:00,Violence,,Battery,Club,"Maria Garcia",31,"234 Oak Blvd","Patrick Daniels",None,"Physical altercation at a nightclub"
"Carlos Miller",09890123456,2025-04-09,08:15:00,Crime,,"Illegal Gambling",Casino,"Felipe Torres",41,"987 Pine St","Jose Martinez",None,"Participating in illegal gambling"
"Olivia Adams",09901234567,2025-04-10,09:00:00,Property,,Vandalism,School,"Alicia Cruz",18,"123 Elm St","Benjamin Scott",None,"Breaking windows in school property"
"Sarah White",09123456789,2025-04-10,10:30:00,Health,,"Public Smoking",Park,"Antonio Gonzalez",34,"456 Oak Blvd","Lucas Walker",None,"Smoking in a public park"
"Emily Brown",09234567890,2025-04-11,11:00:00,Personal,,"Abuse of Power","Government Office","Jorge Rivera",50,"789 Birch Rd","James Jackson",None,"Misuse of authority in office"
"Angela Lewis",09345678901,2025-04-11,12:30:00,Crime,,"Unlawful Detention","Police Station","Pedro Cruz",30,"234 Maple Blvd","Albert White",None,"Illegally detaining an individual"
"Grace Williams",09456789012,2025-04-12,01:00:00,Crime,,"Drug Use",Street,"Carlos Martinez",26,"567 Pine Blvd","Victor Lee",None,"Illegal substance usage in public"
"Mia Scott",09567890123,2025-04-12,02:15:00,Personal,,Negligence,Hospital,"Clara Lopez",29,"678 Birch Ln","David Green",None,"Medical malpractice"
"William Clark",09678901234,2025-04-13,03:30:00,Property,,Trespassing,"Private Property","Alejandro Hernandez",39,"789 Oak Blvd","Ryan Johnson",None,"Entering private property without permission"
"Megan Adams",09789012345,2025-04-13,04:00:00,Personal,,Defamation,"Social Media","Isabel Perez",45,"123 Birch Ln","Rebecca Miller",None,"Spreading false information online"
"Sophia Evans",09890123456,2025-04-14,05:00:00,Crime,,Bribery,"Government Office","Ethan Walker",28,"234 Oak Rd","Chris Green",None,"Offering a bribe to a public official"
"Olivia Lee",09901234567,2025-04-14,06:30:00,Animal,,"Animal Cruelty",Farm,"Marissa Cruz",37,"345 Cedar Dr","Eric White",None,"Abusing animals on a farm"
"Benjamin Scott",09123456789,2025-04-15,07:00:00,Traffic,,"Illegal Parking","Parking Lot","Jose Perez",26,"567 Maple Blvd","Liam Hall",None,"Parking in a disabled spot without permission"
"Daniel Thomas",09234567890,2024-01-09,08:00:00,Personal,,"Public Disturbance",Streets,"Miguel Ortiz",33,"678 Pine St","Olivia Clark",None,"Causing noise disturbance in public area"
