Complainant,"Contact No.",Date,Time,Type,Status,Subject,"Place of Incident","Tanod on Duty",Age,Address,"Complained Name","Complained Address",Details/Reason
"John Doe",09234567890,2025-04-02,09:30:00,Property,Scheduled,Vandalism,Mall,"Pedro Reyes",32," 456 Oak Ave","Carlos Ramirez",None,"Graffiti on the walls"
"James Smith",09456789012,2025-04-03,11:00:00,Personal,Settled,Harassment,School,"Antonio Cruz",16,"321 Maple Rd","Ryan Clark",None,"Verbal harassment by a classmate"
"Robert Green",09678901234,2025-04-04,01:15:00,Violence,Settled,Assault,Restaurant,"Ana Martinez",38,"567 Elm St","John Fisher",None,"Physical altercation between two customers"
"Sophia Johnson",09890123456,2025-04-05,03:30:00,Personal,Settled,Bullying,School,"Miguel Torres",17,"234 Oak Rd","David Adams",None,"Repeated bullying at school"
"Lucas Perez",09123456789,2025-04-06,05:00:00,Family,Settled,"Child Abuse",Home,"Maria Torres",33,"123 Pine Rd","Nina Flores",None,"Reports of physical abuse"
"Elizabeth Taylor",09345678901,2025-04-07,07:30:00,Crime,Settled,Rape,Hotel,"Luis Perez",36,"789 Oak Blvd","James Murphy",None,"Sexual assault on a hotel guest"
"Isabella Fisher",09567890123,2025-04-08,09:00:00,Personal,Settled,Stalking,Home,"Clara Sanchez",24,"567 Cedar Blvd","Bryan Lee",None,"Repeated stalking via social media"
"Nina Young",09789012345,2025-04-09,11:45:00,Violence,Settled,Battery,Club,"Maria Garcia",31,"234 Oak Blvd","Patrick Daniels",None,"Physical altercation at a nightclub"
"Olivia Adams",09901234567,2025-04-10,09:00:00,Property,Settled,Vandalism,School,"Alicia Cruz",18,"123 Elm St","Benjamin Scott",None,"Breaking windows in school property"
"Emily Brown",09234567890,2025-04-11,11:00:00,Personal,Settled,"Abuse of Power","Government Office","Jorge Rivera",50,"789 Birch Rd","James Jackson",None,"Misuse of authority in office"
"Grace Williams",09456789012,2025-04-12,01:00:00,Crime,Settled,"Drug Use",Street,"Carlos Martinez",26,"567 Pine Blvd","Victor Lee",None,"Illegal substance usage in public"
"William Clark",09678901234,2025-04-13,03:30:00,Property,Settled,Trespassing,"Private Property","Alejandro Hernandez",39,"789 Oak Blvd","Ryan Johnson",None,"Entering private property without permission"
"Sophia Evans",09890123456,2025-04-14,05:00:00,Crime,Settled,Bribery,"Government Office","Ethan Walker",28,"234 Oak Rd","Chris Green",None,"Offering a bribe to a public official"
"Benjamin Scott",09123456789,2025-04-15,07:00:00,Traffic,Settled,"Illegal Parking","Parking Lot","Jose Perez",26,"567 Maple Blvd","Liam Hall",None,"Parking in a disabled spot without permission"
"Maria Santos",09123456789,2025-04-01,08:00:00,Noise,,"Noise Pollution",Park,"Juan Dela Cruz",25,"123 Main St","Jose Lopez",None,"Loud music disturbing the neighbors"
"Alice Brown",09345678901,2025-04-02,10:00:00,Crime,,Theft,Supermarket,"Luis Gomez",40,"789 Pine Blvd","Michael Jackson",None,"Stolen groceries"
"Rachel Adams",09567890123,2025-04-03,12:30:00,Business,,Fraud,Office,"Rosario Diaz",29,"234 Birch Ln","Karen White",None,"Falsified financial reports"
"Susan Miller",09789012345,2025-04-04,02:45:00,Traffic,,"Drunken Driving",Street,"Carlos Santos",47,"678 Maple Blvd","Patrick Lee",None,"Driving under the influence"
"Liam King",09901234567,2025-04-05,04:00:00,Traffic,,Speeding,Highway,"Rebecca Gonzalez",22,"345 Cedar Dr","Evan Scott",None,"Excessive speeding in residential area"
