"Name Involved",Address,Date,Time,Vehicle,License,"Plate Number",Status,"Cause of Incident"
"Amos Wright","234 Cedar Rd",2025-04-21,18:45:00,"Chevrolet Cruze",DEF678,ABC2345,Active,"Lost control"
"Ella Taylor","321 Oak Dr",2025-04-20,16:30:00,"Mazda 6",LMN234,QWE1234,Active,"Crosswalk accident"
"Logan Martinez","234 Maple Rd",2025-04-19,14:00:00,"Hyundai Tucson",DEF123,XYZ6789,Active,"Underage driver"
"Henry White","123 Birch Blvd",2025-04-18,12:45:00,"Toyota RAV4",LMN123,PQR4567,Active,"Accident on icy road"
"Jack Lewis","345 Oak Blvd",2025-04-17,10:15:00,"Ram 2500",GHI890,XYZ0123,Active,"Collided with bicycle"
"Avery Cooper","123 Willow Dr",2025-04-16,08:00:00,"Kia Soul",LMN678,STU2345,Active,"Reckless driving"
"Charlotte Perez","654 Maple Rd",2025-04-15,22:30:00,"Toyota Highlander",GHI234,PQR1234,Active,"Tailgate accident"
"Harper Nelson","234 Cedar Ln",2025-04-14,20:00:00,"Chevrolet Traverse",DEF234,XYZ1234,Active,"Driving under the influence"
"Grace Adams","123 Birch Rd",2025-04-13,18:45:00,"Toyota Tacoma",GHI678,XYZ8901,Active,"Hit-and-run collision"
"Megan Taylor","876 Cedar Ln",2025-04-12,16:00:00,"Hyundai Elantra",LMN890,STU3456,Active,"Aggressive driving"
"Lucas Perez","654 Elm Blvd",2025-04-11,14:30:00,"Ford Explorer",DEF678,XYZ7890,Active,"Road rage incident"
"Benjamin Walker","321 Birch Ave",2025-04-10,12:00:00,"Chevrolet Silverado",GHI345,MNO2345,Active,"Pedestrian injury"
"James Robinson","654 Oak Rd",2025-04-09,09:30:00,"Mazda CX-5",LMN567,QWE1234,Active,"Unlicensed driving"
"Daniel Harris","123 Pine St",2025-04-08,07:45:00,"Ram 1500",CDE234,VWX1234,Active,"Rearview mirror hit"
"Elijah Garcia","678 Birch Blvd",2025-04-07,21:00:00,"Toyota Prius",GHI012,XYZ6789,Active,"Animal crossing road"
"Ava Martinez","234 Maple Ave",2025-04-06,19:00:00,"Ford Mustang",LMN456,TUV3456,Active,"Disobeying stop sign"
"Mason Scott","654 Pine Ave",2025-04-05,17:00:00,"Subaru Outback",CDE123,STU2345,Active,"Weather-related accident"
"Lucas Black","123 Birch Ln",2025-04-04,15:45:00,"Nissan Altima",XYZ345,MNO3456,Active,Tailgating
"David Green","654 Elm St",2025-04-03,12:30:00,"Tesla Model 3",DEF789,OPQ5678,Active,Speeding
"Jim Brown","789 Pine Rd",2025-04-02,10:15:00,"Ford F-150",LMN456,ABC9876,Active,"Pedestrian hit"
"John Doe","123 Main St",2025-04-01,08:00:00,"Toyota Corolla",ABC123,XYZ1234,Active,"Rear-end collision"
